Organization,Followed On
Cheope Risk Management,Tue Dec 20 14:37:55 UTC 2022
Ag Generali Cesano Maderno,Thu Dec 01 11:14:51 UTC 2022
BCG X,Wed Nov 30 21:06:09 UTC 2022
Continuity,Tue Nov 29 10:16:12 UTC 2022
GamingTechLAW,Mon Nov 21 08:52:51 UTC 2022
Jobtech,Fri Nov 04 22:05:10 UTC 2022
Pixaera,Sat Oct 29 13:09:37 UTC 2022
Generali jeniot,Thu Oct 27 07:11:02 UTC 2022
CleverConnect,Wed Oct 26 12:18:56 UTC 2022
Generative AI Central,Thu Oct 20 09:26:39 UTC 2022
HRC Learning & Development,Sun Oct 16 19:25:26 UTC 2022
JAKA Robotics,Sun Oct 09 04:39:09 UTC 2022
Italian Privacy & Cybersecurity Think Tank,Fri Sep 30 07:14:29 UTC 2022
Lumen Solutions,Thu Sep 08 15:31:48 UTC 2022
Clearbox AI,Fri Aug 12 15:04:55 UTC 2022
Roundtable,Thu Jul 21 17:17:52 UTC 2022
Data Leaders ™ (owned by DataIQ),Tue Jul 05 15:16:16 UTC 2022
TABILIA,Thu Jun 09 21:11:02 UTC 2022
Witzy,Tue Jun 07 14:23:41 UTC 2022
BS Studio Milano,Fri May 13 10:39:43 UTC 2022
Agatòs Syntagma® 1855,Sat May 07 14:44:38 UTC 2022
Eligo eVoting,Thu May 05 07:23:35 UTC 2022
Intelligenza Artificiale Spiegata Semplice,Sat Apr 02 16:04:20 UTC 2022
Italy Insurance Forum,Wed Mar 30 17:55:47 UTC 2022
Open Search Network,Thu Jan 13 12:56:18 UTC 2022
Uniglobal,Wed Jan 05 13:28:49 UTC 2022
Smart Capital S.p.A.,Sun Jan 02 09:35:59 UTC 2022
Drive2Data Inc.,Tue Dec 28 06:10:53 UTC 2021
Pragma Etimos S.r.l.,Tue Jun 08 14:12:31 UTC 2021
Enhancers - Tinexta Innovation Hub,Thu May 27 11:32:18 UTC 2021
CleverConnect Italia,Wed Mar 03 08:48:06 UTC 2021
Emotional Marketing,Thu Feb 25 10:10:43 UTC 2021
Aeronautica Militare,Mon Feb 15 15:49:31 UTC 2021
BTG LEGAL Batini Traverso Grasso & Associati,Mon Feb 01 10:10:16 UTC 2021
AKUR8,Tue Dec 22 16:41:05 UTC 2020
Dottor Grandine - Doctor Hail,Fri Oct 23 09:51:51 UTC 2020
Diritto al Digitale,Thu Oct 01 19:34:07 UTC 2020
IoTItaly - Associazione italiana Internet of Things,Thu Aug 13 07:08:16 UTC 2020
ASP Alumni Association,Fri Jul 10 16:02:33 UTC 2020
Entromy,Sun May 31 04:31:52 UTC 2020
NeN,Sat May 30 13:42:08 UTC 2020
Milliman Italy,Tue Feb 25 07:55:54 UTC 2020
Radicalbit,Wed Dec 04 09:34:49 UTC 2019
BCG GAMMA,Fri Jun 22 12:05:29 UTC 2018
McKinsey & Company,Fri Apr 20 15:01:27 UTC 2018
Generali,Thu Apr 05 09:45:54 UTC 2018
Pegasystems,Thu Mar 15 06:59:09 UTC 2018
Business Insurance,Sat Jan 27 21:00:13 UTC 2018
TED Conferences,Sat Jan 27 20:52:53 UTC 2018
Harvard Business Review,Sat Jan 27 20:52:40 UTC 2018
Generali Italia,Tue Oct 03 07:18:11 UTC 2017
Università Bocconi,Fri Jan 27 22:09:43 UTC 2017
Università Commerciale 'Luigi Bocconi'​,Thu Sep 01 10:32:13 UTC 2016
Deutsche Bank Italia,Fri Jan 29 01:20:53 UTC 2016
HR Services Net,Fri Jan 29 01:08:16 UTC 2016
Boston Consulting Group (BCG),Tue Jun 08 23:39:18 UTC 2010
