Event Name,Event Time,Status,External Url
L'impatto del Prov. IVASS n°97 sulla preparazione all'Esame IVASS 2021,"Feb 15, 2021 05:00 PM - Feb 15, 2021 06:00 PM",RELINQUISHED,https://corsoivass.fiass.it/provvedimento97-esame-ivass-2021
Best practices governo del credito: sinergie tra professionisti e strumenti,"Jan 16, 2024 02:00 PM - Jan 16, 2024 03:00 PM",APPROVED,
Un caffè con noi........vi presentiamo ContractSuite.,"Dec 08, 2022 08:00 AM - Dec 31, 2022 11:00 AM",APPROVED,https://www.contractsuite.eu/richiedi-demo/
VIRTUAL DTX :   Product & Service Innovation Edizione Italia,"Jun 30, 2021 03:00 PM - Jun 30, 2021 04:30 PM",RELINQUISHED,
Change Management in the AI Era: Elevating Human Capabilities,"May 15, 2024 03:00 PM - May 15, 2024 04:00 PM",APPROVED,
Un caffè con noi.....vi presentiamo ContractSuite.,"Nov 07, 2022 08:00 AM - Nov 30, 2022 05:00 PM",RELINQUISHED,https://www.digitalsuite.eu/demo-meeting-contractsuite/
Data Center Economy: l’Italia a un punto di svolta,"Jan 17, 2024 08:00 AM - Jan 17, 2024 01:00 PM",APPROVED,https://www.osservatori.net/it/eventi/prossimi/convegni/data-center-convegno-risultati-ricerca-osservatorio
ESAME IVASS 2022 Iscriviti al ciclo di Webinar gratuiti del corso HYBRID,"Feb 01, 2022 01:00 PM - Feb 01, 2022 02:00 PM",RELINQUISHED,https://corsoivass.fiass.it/esame-ivass-2022-come-iscriversi-materie-preparazione
Insurtech Insights Europe 2022 | 15-16th March,"Mar 15, 2022 08:00 AM - Mar 16, 2022 05:00 PM",RELINQUISHED,https://www.insurtechinsights.com/europe/?utm_source=Event
Educazione Finanziaria: i Valori & i Vantaggi per la tua professione,"May 24, 2022 03:30 PM - May 24, 2022 05:00 PM",RELINQUISHED,https://intermediariassicurativi.it/aief-webinar-gratuito.html
Accelerating Social Impact: Supporting DEI through Productive Inclusion,"Nov 09, 2022 04:00 PM - Nov 09, 2022 05:00 PM",RELINQUISHED,
Webinar: Costruire Competenze Pratiche Con i Laboratori di Cloud Academy,"May 20, 2021 09:00 AM - May 20, 2021 10:00 AM",RELINQUISHED,https://register.gotowebinar.com/register/4307077732040741389
BECOMING ANTI-FRAGILE WITH ARTIFICIAL INTELLIGENCE AND HUMAN HEARTS,"Jun 25, 2020 04:00 PM - Jun 25, 2020 05:00 PM",RELINQUISHED,
GO BEYOND 2023,"Mar 01, 2023 08:00 AM - Mar 02, 2023 12:00 PM",APPROVED,
Smitizzare il CDP: #1 Webinar,"Nov 08, 2022 11:25 AM - Nov 08, 2022 11:50 AM",APPROVED,http://zeotap-9473740.hs-sites.com/partecipa-ai-webinar-smitizzare-il-cdp
Webinar - Certificare il tuo Team con Cloud Academy - 14 Ottobre | 11:30 am,"Oct 14, 2021 09:30 AM - Oct 14, 2021 10:30 AM",RELINQUISHED,https://attendee.gotowebinar.com/register/6327476530603272716
I dati alla base di nuovi modelli di business,"Jun 30, 2022 10:30 AM - Jun 30, 2022 11:00 AM",APPROVED,
Webinar - Introduzione a Cloud Academy - 12 Ottobre | 11:30 am ,"Oct 12, 2021 09:30 AM - Oct 12, 2021 10:30 AM",RELINQUISHED,https://attendee.gotowebinar.com/register/3266352595991220492
Platform as a Product: The Evolution of Digital Transformation [VIA ZOOM],"Sep 14, 2023 03:00 PM - Sep 14, 2023 04:00 PM",APPROVED,https://us02web.zoom.us/webinar/register/WN_s2txDMSRQyGV9-7wXiznIw
Caffè virtuale: monitoraggio liquidità aziendale e controllo sostenibilità,"Oct 23, 2023 07:00 AM - Nov 30, 2023 05:00 PM",APPROVED,https://calendly.com/contractsuite/30min
"VOLERE È POTERE: Storia di un'avvocata, banker, imprenditrice e top manager","May 15, 2024 04:30 PM - May 15, 2024 08:00 PM",RELINQUISHED,https://buytickets.at/associazionedemetra/1249980
A Practical AI Adoption for Financial Services,"Apr 21, 2021 03:00 PM - Apr 21, 2021 04:00 PM",APPROVED,https://bit.ly/3d17HTu
2024 Annual Planning: A Panel for Technology and Security & Risk Leaders,"Sep 06, 2023 01:00 PM - Sep 06, 2023 02:00 PM",APPROVED,
Crisi Energetica. Come rispondere alle esigenze di imprese e famiglie?,"Mar 08, 2022 09:30 AM - Mar 08, 2022 10:30 AM",APPROVED,
"South Europe Ai, Data Analytics and Insights Summit in Milan, Italy","Jun 13, 2024 07:00 AM - Jun 14, 2024 01:00 PM",APPROVED,https://berryprofessionals.com/south-europe-ai-data-analytics-and-insights-summit-milan-2024/
"Salotto Digitale, ospite Mattia De Rosa, AI Specialist Director Microsoft","Feb 13, 2024 07:30 PM - Feb 13, 2024 08:30 PM",APPROVED,
"Un caffè con Antonino. Parliamo di AiMySuite, l'AI per il Customer Care. ","Jun 03, 2024 07:00 AM - Jun 17, 2024 04:00 PM",APPROVED,https://calendly.com/antonino-h9pt/un-caffe-con-antonino
"Un caffè con noi, vi presentiamo ContractSuite.","Apr 04, 2023 07:00 AM - May 03, 2023 10:00 AM",APPROVED,https://calendly.com/digitalsuiteitalia/30min?month=2023-04
FREE WEBINAR: Gestione di un data breach in una compagnia assicurativa,"Apr 05, 2022 02:30 PM - Apr 05, 2022 03:30 PM",RELINQUISHED,https://www.insuranceclub.it/evento/11616/free-webinar-gestione-di-un-data-breach-in-una-compagnia-assicurativa/overview
"""CreditSuite"", l'innovativa piattaforma di gestione e recupero del credito.","Nov 25, 2024 08:00 AM - Dec 06, 2024 05:00 PM",APPROVED,https://calendly.com/antonino-h9pt/un-caffe-con-antonino-creditsuite
ITALY INSURANCE FORUM ,"Apr 27, 2022 07:00 AM - Apr 28, 2022 04:00 PM",RELINQUISHED,
#cambiamento #desiderio - Due libri per dialogare di complessità,"Nov 18, 2021 08:00 PM - Nov 18, 2021 09:30 PM",RELINQUISHED,https://www.eventbrite.it/e/biglietti-cambiamento-desiderio-due-libri-per-dialogare-di-complessita-207872330737
Un caffè con noi......vi presentiamo ContractSuite.....,"Dec 05, 2022 09:00 AM - Dec 31, 2022 08:00 PM",APPROVED,https://www.digitalsuite.eu/demo-meeting-contractsuite/
NetLeg Milano - Networking Aperitif con Marco Gualtieri,"Nov 30, 2023 06:30 PM - Nov 30, 2023 10:58 PM",APPROVED,https://bit.ly/NETLEGMILANO
Using graph-based features get a quantum leap in fraud detection,"May 05, 2022 06:00 PM - May 05, 2022 06:45 PM",APPROVED,
Talent Communication Summit 2024 Italia,"Mar 19, 2024 10:00 AM - Mar 19, 2024 06:00 PM",APPROVED,potentialpark.com/italiatalentcommsummit2024
"Ai, Data Analytics and Insights Summit in Milan, Italy. South Europe region","May 25, 2023 07:00 AM - May 26, 2023 10:30 AM",APPROVED,https://berryprofessionals.com/south-europe-ai-data-analytics-and-insights-summit-italy-2023/
Informatica World 2021,"Apr 13, 2021 03:00 PM - Apr 15, 2021 10:00 PM",RELINQUISHED,https://www.informaticaworld.com/
Accessibilità digitale per le aziende,"Jun 21, 2023 09:00 AM - Jun 21, 2023 10:00 AM",RELINQUISHED,
Webinar Gratuito: Sessione Ottobre 2021: Strategie per la tua preparazione,"Jun 24, 2021 03:30 PM - Jun 24, 2021 04:30 PM",APPROVED,https://corsoivass.fiass.it/esame-ivass-2021-sessione-ottobre-strategie-preparazione
I dati non avranno più bias per te [Diretta streaming],"Sep 28, 2022 02:30 PM - Sep 28, 2022 03:30 PM",RELINQUISHED,https://app.aiplay.it/
"Practical AI: Acquire, Serve and Retain Customers in a Post-Pandemic Future","Jun 24, 2020 02:00 PM - Jun 24, 2020 03:00 PM",RELINQUISHED,
Drink & Talk - Saluti prima dell'estate,"Jul 18, 2024 04:30 PM - Jul 18, 2024 05:00 PM",RELINQUISHED,
"Intervento Speciale di Paolo Bergamo, CEO di OverIT - su www.aiweek.it","Jan 28, 2022 04:00 PM - Jan 28, 2022 05:00 PM",RELINQUISHED,
Cloud Academy Platform Demo Webinar,"Aug 10, 2021 03:00 PM - Aug 10, 2021 04:00 PM",APPROVED,https://register.gotowebinar.com/register/6694794776594214155
Sviluppa un modello sofisticato di gestione del rischio climatico,"Mar 26, 2024 10:30 AM - Mar 26, 2024 11:30 AM",APPROVED,
Finanza agevolata: il Webinar 👨‍💻,"May 10, 2021 02:00 PM - May 10, 2021 03:00 PM",RELINQUISHED,
0KM Finance ,"Sep 24, 2020 04:30 PM - Sep 24, 2020 06:00 PM",RELINQUISHED,
"ChatGPT, AI & The Future of Business","Apr 12, 2023 03:00 PM - Apr 12, 2023 04:00 PM",APPROVED,
"Hyper Automation Saga, Episode I : Process Mining Overview","Sep 23, 2020 10:00 AM - Sep 23, 2020 10:30 AM",RELINQUISHED,
Valorizza gli asset immobiliari rispettando la traiettoria CRREM,"Mar 25, 2025 01:30 PM - Mar 25, 2025 03:00 PM",APPROVED,https://events.teams.microsoft.com/event/ac87694f-8302-489d-af9f-a7c0119306b7@b7d887ff-19c9-4884-a5c6-416ae21337ae
La Migrazione al Cloud con Cloud Academy - Come Gestire Talenti e Crescita ,"Mar 29, 2021 09:00 AM - Mar 29, 2021 10:00 AM",APPROVED,https://register.gotowebinar.com/register/3640263510778508303
Webinar: The Rise of AI in Risk Engineering,"Feb 03, 2021 04:00 PM - Feb 03, 2021 05:00 PM",APPROVED,https://attendee.gotowebinar.com/register/7711679199787661839?source=LI+event+page
Product Reveal: Full Data Stack Observability,"Sep 15, 2022 04:00 PM - Sep 15, 2022 05:00 PM",APPROVED,https://app.livestorm.co/sifflet/sifflet-product-reveal-event-full-data-stack-observability-for-the-modern-data-stack?type=detailed
Demystifying GenAI for Credit Risk - Milan,"Nov 26, 2024 10:30 AM - Nov 26, 2024 01:00 PM",APPROVED,https://events.moodys.com/mc-51653-ip-evt-2024-mae25185-research-assistant-client-event-milan
Il potere del linguaggio: rendi efficaci le tue parole,"May 25, 2022 05:30 PM - May 25, 2022 07:30 PM",APPROVED,https://www.fiass.it/catalogo-completo-corsi/corsi-per-intermediari-assicurativi/il-potere-del-linguaggio-rendi-efficaci-le-tue-performance-detail.html
Come efficientare le fasi di Data Collection & Preparation in azienda,"Oct 18, 2022 10:30 AM - Oct 18, 2022 11:00 AM",APPROVED,
Space Economy nei settori non-space: 4 opportunità da cogliere subito. ,"Apr 03, 2025 10:00 AM - Apr 03, 2025 11:00 AM",RELINQUISHED,https://ikn.webex.com/ikn-it/j.php?MTID=mb804b607e1e651c91b7331535406c397
Startup On Stage - LIQEX,"Sep 25, 2024 04:30 PM - Sep 25, 2024 08:30 PM",RELINQUISHED,https://www.tickettailor.com/events/associazionedemetra/1387321
Tassonomia condivisa a supporto delle PMI nella rendicontazione sostenibile,"Apr 13, 2023 09:00 AM - Apr 13, 2023 10:00 AM",RELINQUISHED,https://ikn.webex.com/ikn-it/j.php?MTID=mf124f86c232cf187c31c5ca29d6d7f87
Valorizzare i dati: quali leve tecnologiche e organizzative?,"Jul 07, 2022 10:30 AM - Jul 07, 2022 11:00 AM",APPROVED,
Cittadini Digitali - Ospite Enrico Martines.,"May 19, 2024 06:30 PM - May 19, 2024 07:30 PM",APPROVED,
CHINA UNPOSTED - L’ascesa di Pechino tra innovazione e contraddizioni,"Jul 08, 2021 03:00 PM - Jul 08, 2021 04:30 PM",APPROVED,
Monitora i numeri e fai crescere la tua azienda,"Nov 15, 2023 08:00 AM - Dec 14, 2023 05:00 PM",APPROVED,
"The AI trilogy series, Part 1 Challenges and opportunities of AI","Mar 09, 2022 02:00 PM - Mar 09, 2022 03:00 PM",APPROVED,https://www.dentons.com/en/about-dentons/news-events-and-awards/events/2022/march/9/the-ai-trilogy-series-part-1
Incoscienza Artificiale: i rischi e le opportunità in un futuro sostenibile,"Mar 14, 2022 05:00 PM - Mar 14, 2022 06:00 PM",APPROVED,
Presentazione del Corso sulla Consulenza Successoria,"Apr 22, 2022 08:00 AM - Apr 22, 2022 09:00 AM",APPROVED,
Go Beyond 2022 | Where Tech Accelerates Business,"Mar 08, 2022 08:00 AM - Mar 09, 2022 05:00 PM",RELINQUISHED,
Un caffè con noi......vi presentiamo ContractSuite.,"Jun 01, 2023 07:00 AM - Jun 30, 2023 04:00 PM",APPROVED,https://bit.ly/prenota_un_caffe_con_noi
Prepara il tuo team attuale a nuovi ruoli e competenze con Anthropos,"Sep 24, 2024 09:00 AM - Sep 24, 2024 09:30 AM",APPROVED,https://event.sessions.us/anthropos-skills/prepara-il-tuo-team-a-nuovi-ruoli-e-competenze-con-anthropos
Commercial Lines Innovation Europe ,"Oct 11, 2021 09:00 AM - Oct 13, 2021 02:00 PM",RELINQUISHED,
Pioneering Data Visualization in AI-Driven Analytics,"Apr 01, 2025 01:00 PM - Apr 01, 2025 02:00 PM",APPROVED,https://beexecutiveevents.com/webinar/data-ai-driven-analytics/
Future of Insurance Europe 2022,"Oct 18, 2022 05:30 AM - Oct 19, 2022 01:30 PM",APPROVED,https://www.wns.com/about-us/events/event-detail/31/the-future-of-insurance-europe-2022
L’offerta salute innovativa e inclusiva di AXA,"Apr 16, 2025 09:30 AM - Apr 16, 2025 10:30 AM",RELINQUISHED,https://ikn.it/prodotto/lofferta-salute-innovativa-e-inclusiva-di-axa/
Come promuovere una cultura data-driven? Strumenti e opportunità,"Oct 04, 2022 10:30 AM - Oct 04, 2022 11:00 AM",APPROVED,
Innovazione e nuovi comportamenti organizzativi: Il cambio di paradigma,"Jan 21, 2021 04:00 PM - Jan 21, 2021 05:00 PM",APPROVED,
Perché le aziende falliscono?,"May 16, 2023 12:30 PM - May 16, 2023 01:30 PM",RELINQUISHED,
Data + AI Summit Europe,"Nov 17, 2020 08:00 AM - Nov 19, 2020 11:30 PM",APPROVED,http://dbricks.co/DAIS2020Reg
