Date,Link,Message
2020-07-30 06:48:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694487494957772800,Bravissima Marta!!!
2020-07-27 03:57:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6693105730557411329,Bravissima Dalia!!!!
2020-07-21 21:07:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691437283876376576,Brava Giulia!!!
2020-07-21 17:02:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691355212940226560,Brava Laura!!
2020-07-16 13:23:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6689147668683358208,Brava Vanessa!!!
2020-07-13 20:02:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6688527526123343872,Brava Giulia!
2020-07-13 08:18:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6688342323392192513,Bravo Salvo!
2020-05-02 18:02:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6662278186073759744,Ben fatto!!
2019-10-13 19:21:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6589093777279860736,"Grazie mille Donato, davvero apprezzato"
2019-10-13 19:19:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6589093777279860736,Thanks Jan! That's so kind of you; you know that most belongs to the fantastic old times in Boston pioneering together and learning from you... best! D
2019-10-13 17:52:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6589185494586839040,Many many thanks to you Francesco!!
2019-02-15 12:18:03,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6502105919810207744,Thank you Fabiano! :) And also on behalf of the other bosses who made this possible!
2019-02-11 20:50:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6499782662109032448,Would not be for some carefully selected talents I worked with in the past :-)
2019-01-21 20:46:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6493124180748439553,Bravissima Ilaria!
2018-10-16 15:16:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6457977370744803328,Congrats Pelle! Hat off
2018-09-22 16:56:03,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6448636195789508608,Top!!!
2018-06-28 18:46:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6417786489458958336,Hai visto Ignazio! Big data rock
2016-04-08 19:07:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6124193421381951489,Looking forward to that!
2015-11-24 14:29:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6074910367547482112,Grande!!!
2015-11-19 07:52:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6072879340893327360,Grande!
2014-01-08 19:27:12,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A314562-5826658311323267075,"Wonderful Ste, congrats!"
